filename,id_value,nct_id
novo-NN2211-1842.pdf,NN2211-1842,NCT00856986
CSPA100AUS01-3224.pdf,CSPA100AUS01,NCT00853957
CSPP100A2366-10963.pdf,CSPP100A2366,NCT00853827
CSPP100F2301-15328.pdf,CSPP100F2301,NCT00853658
CQAB149B2341-3901.pdf,CQAB149B2341,NCT00846586
CQAB149B2348-9243.pdf,CQAB149B2348,NCT00845728
CSPA100A2306-3380.pdf,CSPA100A2306,NCT00841672
CLAF237A23140-3760.pdf,CLAF237A23140,NCT00822211
CLAF237B2201-4586.pdf,CLAF237B2201,NCT00821977
CQAB149B2349-3344.pdf,CQAB149B2349,NCT00821093
CSPV100AUS01-3240.pdf,CSPV100AUS01,NCT00809926
CSPP100A2410-3620.pdf,CSPP100A2410,NCT00797316
CQAB149B1302-3343.pdf,CQAB149B1302,NCT00794157
CQAB149B2333-3900.pdf,CQAB149B2333,NCT00792805
CSPP100A2409-3820.pdf,CSPP100A2409,NCT00787605
CSPA100A2304-3043.pdf,CSPA100A2304,NCT00778921
CSPA100A2303-2882.pdf,CSPA100A2303,NCT00777946
CSPP100AUS07-2917.pdf,CSPP100AUS07,NCT00772577
CLAF237A23137E1-5924.pdf,CLAF237A23137E1,NCT00765830
CSAH100A2302-3162.pdf,CSAH100A2302,NCT00765674
CSPP100A2411-2943.pdf,CSPP100A2411,NCT00760266
CSPA100A2305-3000.pdf,CSPA100A2305,NCT00739973
CSPP100AUS03-2916.pdf,CSPP100AUS03,NCT00739596
CFTY720D2306-15030.pdf,CFTY720D2306,NCT00731692
CLMF237A2309-3860.pdf,CLMF237A2309,NCT00728351
CSPP100A2405-2933.pdf,CSPP100A2405,NCT00706134
CSPP100A2353-2930.pdf,CSPP100A2353,NCT00705575
novo-NN2211-1860.pdf,NN2211-1860,NCT00700817
CVAA489A2318-2962.pdf,CVAA489A2318,NCT00699192
CVAH631BUS08-3023.pdf,CVAH631BUS08,NCT00698646
CVAA489AFR02-2858.pdf,CVAA489AFR02,NCT00687973
CQAB149B2335SE-2911.pdf,CQAB149B2335SE,NCT00677807
CSPP100A2404-3340.pdf,CSPP100A2404,NCT00631917
CQAB149B2346-2674.pdf,CQAB149B2346,NCT00624286
novo-NN2211-1796.pdf,NN2211-1796,NCT00614120
CQAB149B2336-2848.pdf,CQAB149B2336,NCT00567996
CSPP100E2337-11063.pdf,CSPP100E2337,NCT00549757
CQAB149B2338-2743.pdf,CQAB149B2338,NCT00529529
CSPP100A2339-2677.pdf,CSPP100A2339,NCT00529451
novo-NN2211-1797.pdf,NN2211-1797,NCT00518882
CZOL446HUS136-2594.pdf,CZOL446HUS136,NCT00489424
CCOX189A2361E1-1882.pdf,CCOX189A2361E1,NCT00476034
novo-NN304-1687.pdf,NN304-1687,NCT00474045
CMEX839BDE03-3101.pdf,CMEX839BDE03,NCT00451412
CVAH631BUS06-2574.pdf,CVAH631BUS06,NCT00439738
CZOL446M2309-4646.pdf,CZOL446M2309,NCT00439647
CZOL446H2409-2856.pdf,CZOL446H2409,NCT00439244
CVAH631BUS07-2543.pdf,CVAH631BUS07,NCT00425997
CVAA489A1301-2633.pdf,CVAA489A1301,NCT00425373
CENA713D1301E1-4162.pdf,CENA713D1301E1,NCT00423085
CSPP100A2340-3423.pdf,CSPP100A2340,NCT00414609
CVAA489A2316-2582.pdf,CVAA489A2316,NCT00413413
CVAA489A2315-2579.pdf,CVAA489A2315,NCT00413049
CVAA489A2201-2488.pdf,CVAA489A2201,NCT00409760
CVAA489A2307-2478.pdf,CVAA489A2307,NCT00409643
CZOL446HDE31-2881.pdf,CZOL446HDE31,NCT00404820
CVEA489ABR01-2527.pdf,CVEA489ABR01,NCT00400777
novo-NN4440-1794.pdf,NN4440-1794,NCT00399711
CLAF237A23104-2654.pdf,CLAF237A23104,NCT00396357
CLAF237A23119-2567.pdf,CLAF237A23119,NCT00396227
novo-NN2211-1700.pdf,NN2211-1700,NCT00393718
CQAB149B2334-2678.pdf,CQAB149B2334,NCT00393458
CSPP100A2333-2531.pdf,CSPP100A2333,NCT00387517
CSPP100A2332-2530.pdf,CSPP100A2332,NCT00386139
CVAS489A2301-2138.pdf,CVAS489A2301,NCT00385931
CLAF237A2398-2652.pdf,CLAF237A2398,NCT00383578
CLMF237A2302-2650.pdf,CLMF237A2302,NCT00382096
CSPP100A2344-2611.pdf,CSPP100A2344,NCT00368277
CLAF237A1301-2524.pdf,CLAF237A1301,NCT00368134
CCOX189A2360-1553.pdf,CCOX189A2360,NCT00366938
CVAA489A2402-2528.pdf,CVAA489A2402,NCT00353912
CLAF237A23103-2586.pdf,CLAF237A23103,NCT00351884
CVAA489A2403-2509.pdf,CVAA489A2403,NCT00350168
CSPP100A1301-2494.pdf,CSPP100A1301,NCT00344110
CSPP100A2351-2508.pdf,CSPP100A2351,NCT00343551
CVAL489ABR02-2175.pdf,CVAL489ABR02,NCT00333489
novo-NN2211-1574.pdf,NN2211-1574,NCT00333151
novo-NN2211-1697.pdf,NN2211-1697,NCT00331851
CVAA489A2401-2429.pdf,CVAA489A2401,NCT00327145
novo-NN2211-1572.pdf,NN2211-1572,NCT00318461
novo-NN2211-1436.pdf,NN2211-1436,NCT00318422
CMEX839BDE02-2951.pdf,CMEX839BDE02,NCT00311753
CVAH631B1303-2403.pdf,CVAH631B1303,NCT00311740
novo-NN2211-1573.pdf,NN2211-1573,NCT00294723
CSPP100A2323E-2384.pdf,CSPP100A2323E,NCT00294710
CVAH631BUS05-2387.pdf,CVAH631BUS05,NCT00280540
CVAH631BUS04-2437.pdf,CVAH631BUS04,NCT00277472
novo-NN304-1657.pdf,NN304-1657,NCT00274274
CVAH631D2301-2406.pdf,CVAH631D2301,NCT00273299
CCOX189A2428-2376.pdf,CCOX189A2428,NCT00267176
novo-NN304-1720.pdf,NN304-1720,NCT00264901
CIGE025A2425-2754.pdf,CIGE025A2425,NCT00264849
CSPP100A2304-2389.pdf,CSPP100A2304,NCT00262236
CSPP100A2328-2400.pdf,CSPP100A2328,NCT00260923
CLAF237A2354-2539.pdf,CLAF237A2354,NCT00237237
CIGE025A1304-2197.pdf,CIGE025A1304,NCT00232050
CSPP100A2331-2436.pdf,CSPP100A2331,NCT00219193
CSPP100A2327-2365.pdf,CSPP100A2327,NCT00219180
CSPP100A2324-2296.pdf,CSPP100A2324,NCT00219167
CSPP100A2316-2588.pdf,CSPP100A2316,NCT00219141
CSPP100A2308-2204.pdf,CSPP100A2308,NCT00219128
CSPP100A2309-2295.pdf,CSPP100A2309,NCT00219115
CSPP100A2310-2521.pdf,CSPP100A2310,NCT00219102
CSPP100A2307-2202.pdf,CSPP100A2307,NCT00219089
CSPP100A2305-2205.pdf,CSPP100A2305,NCT00219076
CSPP100A2306-2304.pdf,CSPP100A2306,NCT00219063
CSPP100A2302-2281.pdf,CSPP100A2302,NCT00219037
CSPP100A2204-2487.pdf,CSPP100A2204,NCT00219024
novo-NN304-1595.pdf,NN304-1595,NCT00184665
COLO400A2419-2155.pdf,COLO400A2419,NCT00171496
CCIB002H2304-2194.pdf,CCIB002H2304,NCT00171366
CXUO320BCZ01-3667.pdf,CXUO320BCZ01,NCT00171275
CDAR328A2409-2354.pdf,CDAR328A2409,NCT00171184
CDAR328A2401-2043.pdf,CDAR328A2401,NCT00171145
CVAS489A2316-2410.pdf,CVAS489A2316,NCT00171093
CVAA489A2306-2844.pdf,CVAA489A2306,NCT00171002
CVAH631C2302-2182.pdf,CVAH631C2302,NCT00170989
CVAA489A2305-2843.pdf,CVAA489A2305,NCT00170963
CCIB002I2301-2612.pdf,CCIB002I2301,NCT00170950
CVAH631DUS02-2196.pdf,CVAH631DUS02,NCT00154271
CCOX189A2367-2394.pdf,CCOX189A2367,NCT00154219
